,ca,t,cs,fs,tot
phase,7,1,1,1,10
planting,5,0,0,5,10
prediction,6,4,0,0,10
preparing,4,0,5,1,10
professionals,5,4,1,0,10
profitability,3,0,6,1,10
promissory,0,0,10,0,10
queen,0,0,10,0,10
questionnaires,8,0,1,1,10
raising,0,0,4,6,10
rarely,4,1,5,0,10
rdoacadcs16004,0,0,10,0,10
realize,10,0,0,0,10
regions,8,0,0,2,10
remain,6,1,1,2,10
reminding,0,0,10,0,10
renters,10,0,0,0,10
revealed,3,0,4,3,10
riedacadcs18006,0,0,10,0,10
robert,10,0,0,0,10
round,3,0,7,0,10
routing,9,1,0,0,10
rural,10,0,0,0,10
satisfactory,1,2,6,1,10
satisfied,5,4,1,0,10
satisfy,4,2,1,3,10
saturday,5,0,4,1,10
says,7,1,2,0,10
scores,10,0,0,0,10
seal,1,0,9,0,10
signing,4,0,6,0,10
slip,2,0,8,0,10
smartphone,7,3,0,0,10
smells,8,0,2,0,10
spot,8,0,2,0,10
statistic,9,0,0,1,10
streets,9,0,0,1,10
string,8,2,0,0,10
structured,10,0,0,0,10
swap,10,0,0,0,10
targets,8,0,2,0,10
team,3,0,3,4,10
tide,10,0,0,0,10
timely,10,0,0,0,10
town,4,0,1,5,10
trainings,7,0,3,0,10
transfer,4,1,5,0,10
travelling,10,0,0,0,10
treat,4,1,5,0,10
turned,3,0,7,0,10
typical,10,0,0,0,10
unauthorized,10,0,0,0,10
unaware,8,0,0,2,10
understood,7,2,1,0,10
upload,6,0,0,4,10
vacant,2,0,8,0,10
varieties,4,0,6,0,10
vicinity,7,0,3,0,10
videos,8,0,1,1,10
visitor,0,0,10,0,10
visitors,6,2,2,0,10
warnings,10,0,0,0,10
wealth,7,1,1,1,10
wish,1,0,9,0,10
write,4,5,1,0,10
zorb,0,0,10,0,10
1991,2,1,0,6,9
3000,2,0,5,2,9
5000,2,0,6,1,9
absence,8,0,1,0,9
accepting,1,0,8,0,9
accordance,6,0,3,0,9
accuracy,9,0,0,0,9
acquiring,3,0,6,0,9
adjacent,7,0,2,0,9
afford,7,0,2,0,9
ahead,4,0,5,0,9
ample,5,0,3,1,9
analyze,5,2,0,2,9
ancestral,9,0,0,0,9
anytime,5,0,4,0,9
applicable,5,0,4,0,9
approving,3,0,6,0,9
aqua,8,0,1,0,9
arise,1,0,8,0,9
assessing,5,0,4,0,9
attacks,9,0,0,0,9
attended,0,1,7,1,9
attending,2,0,7,0,9
attractions,7,0,2,0,9
audience,8,0,0,1,9
babies,8,1,0,0,9
bathroom,2,0,7,0,9
begin,7,0,2,0,9
biological,6,3,0,0,9
bounded,9,0,0,0,9
breakfast,0,0,8,1,9
burden,9,0,0,0,9
calling,5,0,4,0,9
cashless,9,0,0,0,9
checklist,8,0,1,0,9
chemical,9,0,0,0,9
clinics,9,0,0,0,9
coconut,0,0,6,3,9
completed,6,0,3,0,9
computation,0,0,9,0,9
conductors,9,0,0,0,9
considers,2,0,7,0,9
consolidated,1,0,8,0,9
contagious,9,0,0,0,9
contaminated,9,0,0,0,9
controller,6,2,0,1,9
conventional,9,0,0,0,9
converting,8,1,0,0,9
cool,2,1,6,0,9
core,5,0,2,2,9
correctly,7,0,2,0,9
coupon,0,0,9,0,9
currency,9,0,0,0,9
danger,9,0,0,0,9
declared,2,0,7,0,9
deliveries,0,0,8,1,9
dermatologist,9,0,0,0,9
describes,4,4,1,0,9
detainment,9,0,0,0,9
developer,2,7,0,0,9
developments,8,1,0,0,9
diastolic,9,0,0,0,9
digitized,9,0,0,0,9
disasters,9,0,0,0,9
discover,9,0,0,0,9
disseminating,9,0,0,0,9
doesnt,5,0,4,0,9
domain,6,3,0,0,9
dominant,8,0,0,1,9
drop,8,0,1,0,9
duplicate,3,0,5,1,9
dust,0,0,9,0,9
earthquake,9,0,0,0,9
electronics,6,3,0,0,9
eliminating,6,1,2,0,9
encourage,6,2,0,1,9
encourages,4,0,1,4,9
engineering,8,1,0,0,9
enrolled,9,0,0,0,9
equipped,8,0,0,1,9
evacuee,9,0,0,0,9
evaluated,6,0,2,1,9
exit,6,0,3,0,9
express,1,0,6,2,9
factory,6,0,2,1,9
fame,9,0,0,0,9
fastest,6,1,1,1,9
filter,5,0,4,0,9
fishery,9,0,0,0,9
flat,3,0,5,1,9
flies,0,0,9,0,9
foreclosure,0,0,9,0,9
fortunate,6,0,3,0,9
globally,7,0,0,2,9
grilling,0,0,9,0,9
guard,0,0,9,0,9
handlers,0,0,1,8,9
handy,7,0,0,2,9
hauling,0,0,9,0,9
heart,8,0,0,1,9
holding,5,0,0,4,9
holds,3,2,4,0,9
honorarium,0,0,9,0,9
hotel,2,0,7,0,9
ignored,4,0,5,0,9
indexes,7,1,1,0,9
infestation,9,0,0,0,9
install,5,4,0,0,9
integrating,7,0,0,2,9
landlords,9,0,0,0,9
legacy,9,0,0,0,9
libertad,1,0,8,0,9
lies,5,1,2,1,9
limiting,7,2,0,0,9
lists,2,1,6,0,9
logbook,5,0,4,0,9
manages,8,1,0,0,9
maturity,0,0,6,3,9
maybe,8,0,1,0,9
medication,8,1,0,0,9
medicines,5,2,2,0,9
meetings,6,1,1,1,9
memorial,0,0,9,0,9
messaging,9,0,0,0,9
meter,1,0,8,0,9
millions,3,3,1,2,9
mixed,8,0,1,0,9
mmpc,0,0,9,0,9
monday,4,0,4,1,9
mysql,7,2,0,0,9
nasipit,0,0,9,0,9
ninetytwo,0,0,6,3,9
numbering,6,2,1,0,9
nurses,9,0,0,0,9
obliged,1,0,8,0,9
occupancy,0,0,9,0,9
ongoing,8,1,0,0,9
onsite,9,0,0,0,9
overflowing,7,0,2,0,9
ownership,4,0,4,1,9
parties,1,0,8,0,9
pathogen,9,0,0,0,9
persona??s,9,0,0,0,9
pertaining,6,1,0,2,9
peso,7,0,1,1,9
pets,9,0,0,0,9
phenomena,8,1,0,0,9
philpost,0,0,9,0,9
photohappier,0,0,0,9,9
picking,8,0,1,0,9
pictures,1,2,5,1,9
powered,7,0,2,0,9
presently,4,1,2,2,9
principals,0,0,9,0,9
prioritized,3,1,5,0,9
probability,7,0,2,0,9
produces,5,0,4,0,9
prospective,7,0,1,1,9
rdoacadcs17010,0,0,9,0,9
rdoacadcs17012,0,0,9,0,9
readily,9,0,0,0,9
reducing,6,1,2,0,9
refill,5,0,4,0,9
refused,0,0,9,0,9
regard,6,2,1,0,9
relationships,5,3,0,1,9
remotely,9,0,0,0,9
renovation,0,0,9,0,9
respect,5,0,2,2,9
responded,6,0,3,0,9
responsibilities,6,1,0,2,9
retrieving,9,0,0,0,9
reveals,1,0,8,0,9
revised,7,1,0,1,9
riedacadcs18002,0,0,9,0,9
riedacadcs18009,0,0,0,9,9
rights,9,0,0,0,9
robot,9,0,0,0,9
robots,8,1,0,0,9
salinity,9,0,0,0,9
sarscov2,9,0,0,0,9
scheduler,9,0,0,0,9
scientific,6,3,0,0,9
score,9,0,0,0,9
segment,4,0,5,0,9
selected,4,0,4,1,9
self,7,0,2,0,9
shampoo,0,0,9,0,9
showing,5,0,4,0,9
socalled,7,1,0,1,9
south,9,0,0,0,9
specification,8,0,0,1,9
spes,9,0,0,0,9
spotlight,5,0,0,4,9
stipulated,1,0,8,0,9
story,7,0,2,0,9
strand,8,0,0,1,9
strays,9,0,0,0,9
stroke,9,0,0,0,9
substantial,8,0,0,1,9
sudden,3,1,5,0,9
suggests,6,0,0,3,9
suitability,7,0,0,2,9
supposed,1,0,8,0,9
systolic,9,0,0,0,9
taxpayers,9,0,0,0,9
technologically,9,0,0,0,9
tension,2,0,6,1,9
terminated,0,0,9,0,9
thirteen,0,0,9,0,9
timetable,2,7,0,0,9
tion,0,0,9,0,9
tired,4,0,5,0,9
title,3,2,3,1,9
touch,6,1,2,0,9
tour,3,0,2,4,9
tourist,9,0,0,0,9
towel,0,0,9,0,9
tract,9,0,0,0,9
trainer,9,0,0,0,9
translated,5,3,0,1,9
transmitter,9,0,0,0,9
transporting,2,0,6,1,9
treasurer,1,0,8,0,9
tree,8,0,1,0,9
typhoons,6,0,3,0,9
visitation,0,0,9,0,9
wares,0,0,9,0,9
warm,4,0,5,0,9
waters,5,0,4,0,9
whose,2,0,6,1,9
wifi,4,0,5,0,9
wild,5,0,4,0,9
wooden,1,0,8,0,9
workforce,7,0,0,2,9
writing,2,5,2,0,9
1993,4,0,0,4,8
23400,0,0,8,0,8
8000,3,0,3,2,8
9900000,0,0,8,0,8
accessed,6,0,2,0,8
accessories,0,0,5,3,8
accumulate,5,0,3,0,8
activate,8,0,0,0,8
ades,8,0,0,0,8
admin,7,0,1,0,8
alarming,2,2,4,0,8
alarms,8,0,0,0,8
alkhatib,8,0,0,0,8
allocated,0,0,8,0,8
american,4,4,0,0,8
amnesty,0,0,8,0,8
analyzing,0,7,0,1,8
andor,4,1,3,0,8
andrews,8,0,0,0,8
antrecco,0,0,8,0,8
anxiety,8,0,0,0,8
appear,3,1,4,0,8
aquaculture,8,0,0,0,8
architecture,2,6,0,0,8
arising,3,1,4,0,8
attack,8,0,0,0,8
augmented,8,0,0,0,8
authorities,6,2,0,0,8
backend,6,2,0,0,8
bacteria,4,3,1,0,8
baker,0,0,8,0,8
baking,0,0,8,0,8
beauty,7,0,0,1,8
believe,5,0,2,1,8
believed,3,1,4,0,8
bench,0,0,8,0,8
biodegradable,0,0,8,0,8
broken,4,1,2,1,8
browse,8,0,0,0,8
cabadbaran,2,0,6,0,8
cant,6,0,1,1,8
capacities,8,0,0,0,8
carefully,5,0,1,2,8
categorized,3,0,5,0,8
charges,1,0,7,0,8
chef,4,0,4,0,8
choosing,6,0,2,0,8
cigarettes,8,0,0,0,8
clienta??s,0,4,4,0,8
collision,8,0,0,0,8
collisions,8,0,0,0,8
comakers,0,0,8,0,8
competencybased,8,0,0,0,8
conceptual,8,0,0,0,8
conclusion,6,2,0,0,8
confident,4,0,2,2,8
conflicts,5,2,1,0,8
connected,8,0,0,0,8
consequently,6,1,0,1,8
consultants,4,0,4,0,8
continually,4,0,4,0,8
contribute,5,3,0,0,8
converts,5,3,0,0,8
convolutional,4,4,0,0,8
cope,2,0,4,2,8
corner,2,0,6,0,8
corporate,3,1,4,0,8
cough,6,1,1,0,8
cracked,0,0,8,0,8
crucial,8,0,0,0,8
custodian,0,0,8,0,8
customera??s,1,0,7,0,8
cutting,4,0,4,0,8
deduct,0,0,8,0,8
delays,2,2,4,0,8
density,8,0,0,0,8
depth,6,0,2,0,8
described,4,4,0,0,8
determines,7,1,0,0,8
developmental,8,0,0,0,8
died,1,0,6,1,8
dirty,0,0,8,0,8
discrepancies,0,0,8,0,8
disorders,8,0,0,0,8
dispenser,8,0,0,0,8
dormitory,2,0,6,0,8
drinking,4,0,4,0,8
drrm,8,0,0,0,8
economically,5,1,0,2,8
educate,8,0,0,0,8
educating,6,2,0,0,8
empowers,8,0,0,0,8
encouraged,5,0,3,0,8
enrolment,7,1,0,0,8
environments,7,1,0,0,8
evaluating,8,0,0,0,8
eventually,4,1,2,1,8
examples,5,2,0,1,8
excellent,3,0,0,5,8
executed,1,1,6,0,8
exempted,6,2,0,0,8
existence,3,1,4,0,8
external,6,1,1,0,8
farming,6,0,0,2,8
fitting,0,0,8,0,8
forgotten,6,0,2,0,8
format,6,2,0,0,8
formation,4,0,0,4,8
forty,0,0,8,0,8
foundation,7,0,0,1,8
framework,7,1,0,0,8
frontend,8,0,0,0,8
gamebased,8,0,0,0,8
gate,3,2,2,1,8
generator,7,0,1,0,8
grains,6,0,1,1,8
gross,2,0,6,0,8
gupta,8,0,0,0,8
hairnets,0,0,8,0,8
harvest,1,0,2,5,8
hold,6,0,2,0,8
holiday,1,0,2,5,8
hornero,0,0,8,0,8
hydrogen,8,0,0,0,8
illegible,0,8,0,0,8
illustrates,2,0,6,0,8
inability,6,1,1,0,8
incentives,0,0,7,1,8
inflation,5,0,1,2,8
inspector,8,0,0,0,8
inspectors,8,0,0,0,8
instructed,0,0,8,0,8
intend,8,0,0,0,8
introducing,3,1,4,0,8
invest,6,0,1,1,8
investments,5,0,3,0,8
investor,0,0,8,0,8
involve,7,1,0,0,8
island,8,0,0,0,8
issuing,6,0,2,0,8
james,6,1,0,1,8
javascript,0,8,0,0,8
lamination,0,0,8,0,8
leaf,8,0,0,0,8
librarian,6,2,0,0,8
listed,3,1,4,0,8
locally,7,0,0,1,8
logs,3,0,5,0,8
looks,3,0,5,0,8
lowest,4,1,3,0,8
mails,0,0,8,0,8
malicious,0,8,0,0,8
manipulation,8,0,0,0,8
mature,7,0,0,1,8
mechanical,5,1,1,1,8
memorandum,1,0,7,0,8
messenger,7,0,1,0,8
mismatched,0,0,8,0,8
mitigation,8,0,0,0,8
mood,3,0,5,0,8
mothers,3,5,0,0,8
motivation,4,1,3,0,8
nata,0,0,8,0,8
neighborhood,0,2,6,0,8
node,8,0,0,0,8
none,2,0,6,0,8
notified,5,0,3,0,8
novel,8,0,0,0,8
nutrients,8,0,0,0,8
nutritional,7,0,0,1,8
occupies,7,0,1,0,8
onto,7,0,1,0,8
operators,4,0,0,4,8
ordera??,0,0,8,0,8
organize,6,0,2,0,8
ounce,0,0,8,0,8
overflow,8,0,0,0,8
painted,0,0,8,0,8
parcels,0,0,8,0,8
partly,3,0,4,1,8
party,1,4,1,2,8
periodic,7,0,1,0,8
periods,6,2,0,0,8
philhealth,4,1,2,1,8
photocopier,0,0,0,8,8
pixelexe,0,0,8,0,8
pizza,8,0,0,0,8
populations,8,0,0,0,8
possibly,3,2,2,1,8
posters,1,0,6,1,8
potentially,7,1,0,0,8
prepares,0,0,7,1,8
press,2,1,5,0,8
print,2,0,5,1,8
priorities,1,2,3,2,8
priscilla,0,0,8,0,8
proportion,7,1,0,0,8
protocol,6,0,2,0,8
proven,4,0,4,0,8
pull,6,0,2,0,8
rampant,8,0,0,0,8
reasoning,4,4,0,0,8
recently,7,1,0,0,8
recipes,6,0,1,1,8
recommend,7,0,1,0,8
redo,0,0,8,0,8
reduces,8,0,0,0,8
register,4,0,0,4,8
regulations,7,1,0,0,8
relating,7,0,0,1,8
relies,4,2,2,0,8
reordering,0,0,8,0,8
requiring,6,1,0,1,8
researchdevelopment,0,0,0,8,8
resetting,0,0,8,0,8
reviewing,3,0,5,0,8
riedacadcs18015,0,0,8,0,8
roam,8,0,0,0,8
routes,4,0,0,4,8
sandals,0,0,8,0,8
sanitizer,8,0,0,0,8
satisfaction,2,3,2,1,8
saving,6,1,0,1,8
scape,8,0,0,0,8
scope,6,1,1,0,8
seek,5,2,0,1,8
separated,4,0,4,0,8
sept,0,0,6,2,8
shares,0,0,8,0,8
sheet,1,0,7,0,8
signs,2,0,6,0,8
sila,0,0,8,0,8
simulation,8,0,0,0,8
situated,6,0,2,0,8
sleep,8,0,0,0,8
smoothly,5,0,3,0,8
speaking,5,3,0,0,8
spoken,6,2,0,0,8
star,1,0,0,7,8
studied,8,0,0,0,8
sufficient,6,0,2,0,8
sulfide,8,0,0,0,8
summary,4,1,3,0,8
supported,5,0,1,2,8
survival,8,0,0,0,8
syndrome,7,1,0,0,8
systematic,8,0,0,0,8
talking,6,2,0,0,8
tanks,8,0,0,0,8
tauschek,8,0,0,0,8
taxes,7,0,1,0,8
tcjclds,0,0,8,0,8
thingsenabled,8,0,0,0,8
thirtyseven,0,0,8,0,8
thorough,4,0,3,1,8
toilet,4,0,4,0,8
totaled,3,0,5,0,8
totally,0,0,8,0,8
touches,8,0,0,0,8
trading,0,0,8,0,8
translation,1,7,0,0,8
treadmills,0,0,8,0,8
trip,8,0,0,0,8
tropical,8,0,0,0,8
tuesday,8,0,0,0,8
turnover,0,0,8,0,8
ultimately,6,1,0,1,8
uncollected,2,0,6,0,8
unexpected,5,0,3,0,8
unless,3,0,5,0,8
valley,8,0,0,0,8
varies,5,1,2,0,8
vary,4,0,4,0,8
verified,1,0,7,0,8
verifying,7,0,1,0,8
version,6,2,0,0,8
viewed,8,0,0,0,8
visiting,8,0,0,0,8
visits,4,0,4,0,8
wages,5,0,2,1,8
walking,6,0,0,2,8
warehousemen,0,0,8,0,8
wearable,8,0,0,0,8
wellbeing,8,0,0,0,8
worked,4,0,4,0,8
workout,0,0,8,0,8
wristband,8,0,0,0,8
a??an,7,0,0,1,8
10000000,0,0,7,0,7
16000000,0,0,7,0,7
2500,3,0,4,0,7
3160,0,0,7,0,7
5000000,0,0,7,0,7
6190,0,0,7,0,7
accomplish,6,1,0,0,7
accumulated,0,0,7,0,7
addressed,5,0,2,0,7
admitted,5,0,2,0,7
advances,3,0,4,0,7
aggressive,5,0,2,0,7
aids,6,0,1,0,7
akong,0,0,7,0,7
alcoholrelated,7,0,0,0,7
alerts,7,0,0,0,7
alongside,7,0,0,0,7
angging,0,0,7,0,7
annum,0,0,2,5,7
apartment,5,0,2,0,7
apartments,6,0,0,1,7
apologize,0,0,7,0,7
arranging,4,1,1,1,7
arts,5,0,0,2,7
assisted,2,0,5,0,7
atmosphere,3,0,3,1,7
attempt,2,5,0,0,7
authors,3,4,0,0,7
bankruptcy,0,0,7,0,7
behaviors,6,1,0,0,7
beverages,0,0,7,0,7
bislig,1,0,4,2,7
blended,7,0,0,0,7
blocks,1,0,6,0,7
branches,7,0,0,0,7
buttons,2,5,0,0,7
calendar,5,0,2,0,7
camscanner,5,2,0,0,7
candies,7,0,0,0,7
carrier,3,0,4,0,7
causing,5,1,1,0,7
cell,7,0,0,0,7
cellular,7,0,0,0,7
certificates,4,0,2,1,7
characterized,6,1,0,0,7
charcoal,0,0,7,0,7
chatbots,7,0,0,0,7
childhood,7,0,0,0,7
citys,7,0,0,0,7
classifier,5,2,0,0,7
comparing,4,1,1,1,7
comparison,2,0,1,4,7
compliance,4,0,3,0,7
complications,5,1,1,0,7
computing,5,2,0,0,7
conception,7,0,0,0,7
conference,6,0,1,0,7
considerable,6,1,0,0,7
constrained,6,1,0,0,7
conversing,7,0,0,0,7
conversion,7,0,0,0,7
counsel,2,0,5,0,7
cristobal,7,0,0,0,7
crossing,7,0,0,0,7
databases,5,2,0,0,7
decade,7,0,0,0,7
deduction,2,0,5,0,7
defects,0,0,7,0,7
defense,7,0,0,0,7
deposits,2,0,5,0,7
destinations,2,0,0,5,7
deterioration,7,0,0,0,7
determination,6,0,0,1,7
diarrhea,7,0,0,0,7
dili,0,0,7,0,7
director,6,0,0,1,7
disadvantage,7,0,0,0,7
dispose,3,0,4,0,7
disruptive,7,0,0,0,7
divided,3,1,3,0,7
documentation,5,0,0,2,7
download,7,0,0,0,7
dried,0,0,2,5,7
droplets,7,0,0,0,7
drunk,5,0,2,0,7
dswd,3,0,4,0,7
earth,7,0,0,0,7
easiest,7,0,0,0,7
eating,1,0,6,0,7
election,0,0,7,0,7
else,5,0,2,0,7
emerged,5,1,0,1,7
emotional,6,1,0,0,7
enabled,5,0,0,2,7
enjoyment,7,0,0,0,7
enormous,6,1,0,0,7
enthusiasm,3,0,2,2,7
entry,5,1,1,0,7
evaluates,4,1,2,0,7
exactly,0,0,7,0,7
excluding,3,0,4,0,7
exclusively,4,0,3,0,7
exercises,3,4,0,0,7
exists,7,0,0,0,7
explained,3,0,4,0,7
explains,5,1,1,0,7
expressed,5,2,0,0,7
fail,4,0,3,0,7
FALSE,7,0,0,0,7
favorable,0,0,0,7,7
feasible,3,4,0,0,7
feedback,1,0,2,4,7
financing,0,0,7,0,7
fingerprint,7,0,0,0,7
flowing,3,0,4,0,7
freight,0,0,7,0,7
friday,4,0,3,0,7
functionality,3,4,0,0,7
gestures,3,4,0,0,7
glass,0,0,7,0,7
graphic,2,0,5,0,7
growers,6,0,0,1,7
guarantee,2,0,5,0,7
guided,2,1,2,2,7
hearingenabled,7,0,0,0,7
heavily,5,0,0,2,7
heightened,6,1,0,0,7
hogs,0,0,6,1,7
hong,5,0,1,1,7
imagine,7,0,0,0,7
implies,5,0,1,1,7
imposing,3,0,4,0,7
inconvenient,7,0,0,0,7
india,7,0,0,0,7
indoor,5,2,0,0,7
ineffective,5,0,2,0,7
infectious,4,3,0,0,7
inference,2,5,0,0,7
initiate,7,0,0,0,7
injured,7,0,0,0,7
injury,7,0,0,0,7
itis,6,0,1,0,7
java,7,0,0,0,7
kung,0,0,7,0,7
laborers,7,0,0,0,7
landmarks,4,0,3,0,7
lasar,0,0,7,0,7
launching,1,0,0,6,7
layout,0,0,5,2,7
leadership,4,0,0,3,7
likes,0,0,7,0,7
limitation,6,1,0,0,7
liquid,0,0,6,1,7
livelihood,2,0,5,0,7
logging,7,0,0,0,7
manipulate,3,4,0,0,7
marbccs,0,0,7,0,7
martinez,7,0,0,0,7
match,0,0,6,1,7
mineral,5,0,2,0,7
miscellaneous,0,0,7,0,7
modes,7,0,0,0,7
moved,4,0,3,0,7
multiplayer,7,0,0,0,7
navigate,7,0,0,0,7
nearly,7,0,0,0,7
neighbor,0,0,7,0,7
nicholas,1,0,6,0,7
nitrogen,7,0,0,0,7
nonetheless,3,0,4,0,7
obstacles,7,0,0,0,7
ocean,7,0,0,0,7
ordinary,4,0,2,1,7
otherwise,4,0,3,0,7
p1000000,0,0,7,0,7
paperbased,7,0,0,0,7
payables,0,0,7,0,7
pharmacists,1,6,0,0,7
pharmacy,4,0,3,0,7
plethora,7,0,0,0,7
poorly,4,3,0,0,7
possessions,7,0,0,0,7
preparations,3,0,2,2,7
prepared,2,0,5,0,7
privacy,7,0,0,0,7
proceeds,1,0,6,0,7
promptly,0,0,6,1,7
publishing,4,0,3,0,7
queries,1,0,6,0,7
random,3,1,3,0,7
ranks,4,0,3,0,7
rated,3,0,4,0,7
rdoacadcs16011,0,0,7,0,7
rdoacadfs17016,0,0,0,7,7
realworld,7,0,0,0,7
referral,1,0,3,3,7
refuse,4,0,3,0,7
rehabilitation,6,1,0,0,7
relation,1,2,2,2,7
relay,4,0,3,0,7
relief,5,0,2,0,7
rendering,1,0,6,0,7
renewed,3,0,4,0,7
repair,4,0,3,0,7
requests,5,0,2,0,7
rescue,7,0,0,0,7
resort,0,0,7,0,7
retrieved,6,1,0,0,7
reviews,3,0,3,1,7
roles,5,1,0,1,7
rulebased,7,0,0,0,7
rush,5,0,2,0,7
saltwater,7,0,0,0,7
sanitizers,7,0,0,0,7
saved,6,1,0,0,7
scenarios,7,0,0,0,7
seriously,7,0,0,0,7
seventy,0,0,7,0,7
sick,7,0,0,0,7
slips,0,0,6,1,7
slots,6,1,0,0,7
smallscale,6,0,0,1,7
solved,4,2,0,1,7
speaker,2,2,3,0,7
specialist,6,1,0,0,7
spending,5,0,1,1,7
spite,1,0,5,1,7
sports,4,0,2,1,7
sprawling,7,0,0,0,7
standing,4,0,3,0,7
staple,7,0,0,0,7
statements,1,2,4,0,7
stating,0,0,7,0,7
stayed,0,0,7,0,7
straight,7,0,0,0,7
studentsa??,6,1,0,0,7
studying,6,1,0,0,7
suited,5,2,0,0,7
summer,3,0,4,0,7
susceptible,6,1,0,0,7
suspended,3,0,4,0,7
tabu,0,7,0,0,7
teenage,0,7,0,0,7
tekton,0,0,7,0,7
territories,7,0,0,0,7
tested,5,2,0,0,7
theres,7,0,0,0,7
thieves,7,0,0,0,7
timing,4,1,2,0,7
toiletries,0,0,7,0,7
transcompiler,0,7,0,0,7
transferred,0,0,7,0,7
tribe,7,0,0,0,7
truck,1,0,6,0,7
turning,5,0,2,0,7
twoway,5,1,0,1,7
undergone,3,0,3,1,7
unhealthy,7,0,0,0,7
upcoming,4,1,2,0,7
updating,7,0,0,0,7
upgrade,7,0,0,0,7
uploading,7,0,0,0,7
usable,7,0,0,0,7
utilities,3,2,2,0,7
utilizes,7,0,0,0,7
validate,5,0,2,0,7
validated,5,0,2,0,7
varied,6,0,0,1,7
vegetables,0,0,4,3,7
ventilation,6,0,1,0,7
venture,0,0,1,6,7
voucher,0,0,7,0,7
wage,2,0,4,1,7
waiters,0,0,7,0,7
walkins,1,0,6,0,7
warned,3,0,4,0,7
washed,6,0,1,0,7
wednesday,4,0,3,0,7
wheeler,0,0,7,0,7
widespread,6,1,0,0,7
willingness,2,0,4,1,7
wood,0,0,1,6,7
worlds,7,0,0,0,7
worry,4,0,3,0,7
worthiness,0,0,7,0,7
1070491,0,0,6,0,6
14000,0,0,4,2,6
1500,3,0,3,0,6
1988,3,0,0,3,6
2025,6,0,0,0,6
241300,0,0,6,0,6
25800,0,0,6,0,6
32400,0,0,6,0,6
40000,0,0,6,0,6
400000,0,0,6,0,6
80000,0,0,6,0,6
8000000,0,0,6,0,6
9003,6,0,0,0,6
9482,6,0,0,0,6
abundant,3,0,0,3,6
acceptance,4,1,0,1,6
accompanied,3,2,1,0,6
accountable,0,0,5,1,6
accounted,5,0,0,1,6
achieved,2,4,0,0,6
adamson,6,0,0,0,6
adapted,6,0,0,0,6
addresses,1,1,4,0,6
administrators,3,3,0,0,6
aforementioned,6,0,0,0,6
agaton,3,0,3,0,6
agent,0,0,4,2,6
anant,6,0,0,0,6
annually,1,0,3,2,6
anpr,3,3,0,0,6
anything,3,3,0,0,6
apparent,5,1,0,0,6
articles,4,2,0,0,6
artisanal,6,0,0,0,6
assessed,6,0,0,0,6
assessments,6,0,0,0,6
assessors,6,0,0,0,6
assigning,1,4,0,1,6
assisting,5,0,1,0,6
assuming,3,2,0,1,6
attach,2,0,4,0,6
attorney,1,0,5,0,6
attorneys,2,0,4,0,6
automating,6,0,0,0,6
availing,1,0,5,0,6
babys,6,0,0,0,6
bachelora??s,5,0,0,1,6
bakeshoppe,0,0,6,0,6
bicycle,4,0,2,0,6
biggest,4,1,0,1,6
breakins,6,0,0,0,6
breath,6,0,0,0,6
brigades,6,0,0,0,6
burglar,6,0,0,0,6
burglarized,6,0,0,0,6
burglary,6,0,0,0,6
cabin,2,0,4,0,6
caring,6,0,0,0,6
carries,5,1,0,0,6
carry,2,2,0,2,6
cart,2,0,1,3,6
catch,2,0,4,0,6
category,0,3,3,0,6
cattle,0,0,0,6,6
chances,2,1,3,0,6
chemicals,3,1,2,0,6
circulating,6,0,0,0,6
citizen,3,0,3,0,6
civil,5,0,0,1,6
claim,1,0,5,0,6
click,2,2,0,2,6
closer,5,0,1,0,6
cobwebs,0,0,6,0,6
collar,6,0,0,0,6
communications,6,0,0,0,6
complained,0,0,6,0,6
comprehend,4,2,0,0,6
computed,0,0,0,6,6
concluded,6,0,0,0,6
contacting,6,0,0,0,6
contestability,0,0,6,0,6
contributing,4,2,0,0,6
conversation,5,1,0,0,6
converted,3,0,3,0,6
cooperativea??s,0,0,6,0,6
copies,2,0,1,3,6
countrys,5,0,0,1,6
cows,0,0,6,0,6
crank,6,0,0,0,6
credibility,3,0,2,1,6
crisobal,6,0,0,0,6
custom,4,2,0,0,6
dairy,0,0,0,6,6
dark,0,1,4,1,6
dates,0,1,5,0,6
dean,6,0,0,0,6
decides,2,1,3,0,6
decoration,0,0,6,0,6
deeply,6,0,0,0,6
default,1,0,5,0,6
demonstrate,6,0,0,0,6
designs,0,2,4,0,6
deskroom,6,0,0,0,6
determinant,6,0,0,0,6
diet,6,0,0,0,6
differences,6,0,0,0,6
dimensions,6,0,0,0,6
discontinued,2,0,4,0,6
discovered,6,0,0,0,6
discusses,1,0,2,3,6
displaying,5,0,1,0,6
disregarded,0,0,6,0,6
distances,6,0,0,0,6
doesna??t,6,0,0,0,6
doses,6,0,0,0,6
dramatically,5,1,0,0,6
drive,2,0,4,0,6
driversa??,6,0,0,0,6
droughts,6,0,0,0,6
durian,0,0,0,6,6
earl,0,0,6,0,6
earnings,4,0,2,0,6
easytouse,6,0,0,0,6
eclassroom,6,0,0,0,6
ecological,6,0,0,0,6
electrical,6,0,0,0,6
embedded,6,0,0,0,6
emphasize,1,0,5,0,6
empirical,6,0,0,0,6
employeesa??,0,0,5,1,6
empty,1,0,5,0,6
enhancement,5,1,0,0,6
enhances,5,0,0,1,6
